"Gene","Module"
"HNRNPF","turquoise"
"PLA2G16","turquoise"
"PRKAA2","brown"
"UBL7","turquoise"
"TNC","grey"
"KCNAB2","turquoise"
"SPOCK2","turquoise"
"TBL3","turquoise"
"ZBED2","grey"
"NDUFV1","turquoise"
"RAD23A","turquoise"
"TOMM40","turquoise"
"NMI","turquoise"
"VOPP1","turquoise"
"RPL22L1","turquoise"
"NEFH","turquoise"
"TPD52L1","brown"
"SNORD75","turquoise"
"SERPINB9","turquoise"
"AP2M1","turquoise"
"SRPX","turquoise"
"AP1S1","turquoise"
"RPUSD3","turquoise"
"GPX8","turquoise"
"ANTXR1","grey"
"STC1","blue"
"MAPK13","turquoise"
"SNORD42B","turquoise"
"ATP6V0C","turquoise"
"BIRC3","blue"
"LLGL1","turquoise"
"COLGALT1","turquoise"
"BDNF","turquoise"
"GADD45A","turquoise"
"PCOLCE","turquoise"
"DVL2","turquoise"
"GPT2","turquoise"
"TRUB2","turquoise"
"DAPK1","grey"
"SEPW1","turquoise"
"HIST1H1D","turquoise"
"RRN3","turquoise"
"LRRC47","turquoise"
"BAP1","turquoise"
"RPS6KB2","turquoise"
"NMU","grey"
"CERK","turquoise"
"MSRB3","turquoise"
"CHN1","turquoise"
"CXorf57","turquoise"
"GINS4","turquoise"
"GNL3L","turquoise"
"CLU","turquoise"
"CXCL8","grey"
"GLULP4","grey"
"TMEM30B","grey"
"KBTBD4","turquoise"
"ST8SIA6","grey"
"MRPL2","turquoise"
"IFI35","turquoise"
"IL10RB","turquoise"
"CNP","turquoise"
"DUSP10","grey"
"SFXN2","turquoise"
"RND2","turquoise"
"PALMD","grey"
"ZNF22","grey"
"RARRES3","grey"
"LDLRAP1","turquoise"
"C14orf105","grey"
"SLC6A6","turquoise"
"ETV4","turquoise"
"BICD2","turquoise"
"FAM86MP","turquoise"
"NF1","grey"
"AP3D1","turquoise"
"SPOCK1","grey"
"SLCO4C1","blue"
"HIST1H2AI","turquoise"
"CLIP4","brown"
"SNORD116-1","turquoise"
"TBC1D9B","turquoise"
"NUDT11","turquoise"
"KLF7","turquoise"
"STK11","turquoise"
"ZNF608","grey"
"HIATL2","turquoise"
"STXBP2","turquoise"
"SDF4","turquoise"
"UGT3A2","turquoise"
"TBC1D2","turquoise"
"GLB1L2","turquoise"
"CCDC68","turquoise"
"ADAT1","turquoise"
"AS3MT","grey"
"CENPBD1P1","turquoise"
"BAG2","turquoise"
"PEPD","turquoise"
"RPPH1","turquoise"
"RAB43","turquoise"
"LIMD1","turquoise"
"SACS","turquoise"
"KCTD5","turquoise"
"NFIA","grey"
"CCAR2","turquoise"
"SPPL2B","turquoise"
"ARID5B","grey"
"PES1","turquoise"
"VPS4A","turquoise"
"QTRT1","turquoise"
"CLN6","turquoise"
"TIMP1","turquoise"
"PHF23","turquoise"
"SCARNA6","turquoise"
"EEF1A1P11","turquoise"
"SLC39A8","grey"
"TSPAN15","turquoise"
"COL11A1","turquoise"
"SPRYD3","turquoise"
"GSTP1","turquoise"
"ELOVL4","turquoise"
"WDR73","turquoise"
"FAM134C","turquoise"
"CCDC12","turquoise"
"PS1TP4","turquoise"
"CCDC124","turquoise"
"EDNRA","grey"
"GTSF1","grey"
"SEPT2","turquoise"
"APLP1","turquoise"
"RNF40","turquoise"
"COPZ1","turquoise"
"EML2","turquoise"
"ASB6","turquoise"
"PELP1","turquoise"
"HSPA1B","turquoise"
"CYB5A","turquoise"
"HIST3H2BA","turquoise"
"TEX261","turquoise"
"SLC25A10","turquoise"
"RBM12","turquoise"
"UBE2S","turquoise"
"APEX2","turquoise"
"UBA1","turquoise"
"FAM49A","grey"
"EDN1","grey"
"SFXN1","turquoise"
"RALY","turquoise"
"MICAL2","grey"
"FXYD5","turquoise"
"LAPTM5","turquoise"
"ZNF777","turquoise"
"WNK3","grey"
"POTEKP","turquoise"
"TAP2","turquoise"
"TNFRSF10A","turquoise"
"MMP2","turquoise"
"FLII","turquoise"
"SZRD1","turquoise"
"AMOTL2","turquoise"
"GALNT13","grey"
"PHF19","turquoise"
"PLCXD1","turquoise"
"GLTSCR2","turquoise"
"PRKD1","grey"
"HSP90AA6P","turquoise"
"MVP","turquoise"
"WDTC1","turquoise"
"ARSJ","grey"
"NAP1L2","grey"
"RNF182","grey"
"ADAM19","turquoise"
"CDIPT","turquoise"
"SNORD8","turquoise"
"DCAF15","turquoise"
"CTSE","turquoise"
"DUSP7","turquoise"
"SRPX2","turquoise"
"PRR5L","turquoise"
"HIST2H3DP1","turquoise"
"BAMBI","turquoise"
"MAP2K2","turquoise"
"ANO5","grey"
"COG4","turquoise"
"CASP9","turquoise"
"KAT8","turquoise"
"RNU1-59P","turquoise"
"DHRS13","turquoise"
"FRMD4A","turquoise"
"DCLK2","turquoise"
"ZBED4","turquoise"
"LDOC1","turquoise"
"OGDH","turquoise"
"GRB10","turquoise"
"PCDHB14","turquoise"
"NOP2","turquoise"
"CA8","blue"
"ANKH","turquoise"
"ADRM1","turquoise"
"EPHB4","turquoise"
"SCN3A","turquoise"
"LZTR1","turquoise"
"MBOAT7","turquoise"
"KRT23","brown"
"MMP3","turquoise"
"ZNF300","turquoise"
"PSTPIP2","turquoise"
"MCTP2","grey"
"TNFRSF19","turquoise"
"TFAP2C","turquoise"
"FHL3","turquoise"
"SLC25A11","turquoise"
"SNRPA","turquoise"
"APBB1IP","grey"
"MRPS34","turquoise"
"PIK3CG","turquoise"
"MOB3B","turquoise"
"PLXNA1","turquoise"
"CLGN","grey"
"RPIA","turquoise"
"CENPV","turquoise"
"POLD2","turquoise"
"SLC39A3","turquoise"
"GPRIN3","turquoise"
"H3F3C","turquoise"
"PDE5A","grey"
"DOCK4","turquoise"
"TWF2","turquoise"
"PEF1","turquoise"
"M6PR","turquoise"
"BMP7","turquoise"
"CXCL16","brown"
"ANXA8","turquoise"
"GEMIN4","turquoise"
"MBTPS1","turquoise"
"PGD","turquoise"
"WDR18","turquoise"
"HSD17B2","turquoise"
"WBP1L","turquoise"
"TIMM22","turquoise"
"DOLPP1","turquoise"
"RHOJ","turquoise"
"GNA12","turquoise"
"LYZ","turquoise"
"AP1B1","turquoise"
"LGR4","turquoise"
"IFI27","turquoise"
"ABCA1","turquoise"
"SLC27A4","turquoise"
"SLC35C2","turquoise"
"SPATA18","turquoise"
"CKB","turquoise"
"MRPS12","turquoise"
"RUVBL2","turquoise"
"PRKCH","grey"
"SLC7A11","turquoise"
"LMNB2","turquoise"
"TMEM54","turquoise"
"DEPTOR","blue"
"WDR46","turquoise"
"E2F4","turquoise"
"DSE","turquoise"
"RASSF9","turquoise"
"RNU6-531P","blue"
"KCNJ2","grey"
"HSPA1A","turquoise"
"DUSP14","turquoise"
"CHCHD10","turquoise"
"MFSD10","turquoise"
"GCNT3","grey"
"DSG3","turquoise"
"CD68","turquoise"
"ANO10","turquoise"
"MX1","grey"
"CYFIP2","turquoise"
"TMEM218","turquoise"
"ULBP3","turquoise"
"CMTM3","turquoise"
"MLH1","grey"
"SHKBP1","turquoise"
"SNORD28","turquoise"
"ERAL1","turquoise"
"DHDDS","turquoise"
"MEPCE","turquoise"
"TRIP10","turquoise"
"BCL7B","turquoise"
"TPK1","grey"
"GATSL2","turquoise"
"ACTBP2","turquoise"
"ANKRD36BP1","blue"
"CD81","turquoise"
"SNORD45B","turquoise"
"ORAI2","turquoise"
"GEMIN7","turquoise"
"LYPD6B","grey"
"SNORA74A","turquoise"
"SLFN5","grey"
"CCL2","grey"
"PYCR1","turquoise"
"MCM7","turquoise"
"FBXO45","turquoise"
"TOE1","turquoise"
"SLC39A14","turquoise"
"MAPRE2","turquoise"
"CLIC6","blue"
"MT1E","grey"
"NUDCD3","turquoise"
"DCTN1","turquoise"
"THSD4","turquoise"
"SLC44A3","turquoise"
"LRPAP1","turquoise"
"ALDH3A2","turquoise"
"PPAP2B","turquoise"
"FXN","turquoise"
"PLD3","turquoise"
"TMEM222","turquoise"
"FAM96B","turquoise"
"TBC1D2B","turquoise"
"LINC00909","turquoise"
"TRIM16","turquoise"
"APOL1","grey"
"EWSR1","turquoise"
"DDX54","turquoise"
"TSC22D3","turquoise"
"ZNF304","turquoise"
"HIST1H2AH","turquoise"
"HDAC11","turquoise"
"IFITM3","turquoise"
"EPS8","brown"
"KIAA1549L","turquoise"
"INPP1","turquoise"
"HLA-DMB","grey"
"PEX5","turquoise"
"SNORA71C","turquoise"
"TBCB","turquoise"
"ITGB5","turquoise"
"RHBDL2","turquoise"
"PTGS2","grey"
"CNTNAP3B","turquoise"
"POTEM","turquoise"
"C12orf5","turquoise"
"EVA1C","turquoise"
"SFRP1","turquoise"
"OLFM3","grey"
"ARHGAP18","grey"
"TSPAN13","turquoise"
"SH2D4A","turquoise"
"CENPO","turquoise"
"FABP5","turquoise"
"TAF6","turquoise"
"PCDHB16","turquoise"
"FEZ1","turquoise"
"ANO6","grey"
"LIMK1","turquoise"
"CIRBP","turquoise"
"CXCL1","grey"
"MED20","turquoise"
"HSPB8","turquoise"
"GUCD1","turquoise"
"PADI2","turquoise"
"MB21D2","turquoise"
"NOB1","turquoise"
"ITPA","turquoise"
"MIR21","turquoise"
"ATP8B2","turquoise"
"GMDS","turquoise"
"LRP5","turquoise"
"KLC2","turquoise"
"SLC38A5","turquoise"
"PPP4C","turquoise"
"SNAPC2","turquoise"
"NAGK","turquoise"
"WDR4","turquoise"
"CASP1","turquoise"
"RFTN1","turquoise"
"ALDOC","turquoise"
"PGS1","turquoise"
"DAK","turquoise"
"PUF60","turquoise"
"DUSP4","turquoise"
"GLDC","turquoise"
"RPL7L1P11","turquoise"
"DCXR","turquoise"
"VPS18","turquoise"
"FZR1","turquoise"
"LMAN2","turquoise"
"SNORD41","turquoise"
"ZFHX4","grey"
"ALKBH5","turquoise"
"SNORA9","turquoise"
"MUM1","turquoise"
"CDC34","turquoise"
"DEXI","turquoise"
"TATDN2","turquoise"
"TLN1","turquoise"
"REEP4","turquoise"
"GLIS3","grey"
"DSEL","blue"
"MT1F","turquoise"
"KDR","turquoise"
"ABCD2","turquoise"
"ARMCX3","turquoise"
"ALG1","turquoise"
"MKNK1","turquoise"
"RPS2P7","turquoise"
"SAP30BP","turquoise"
"UROD","turquoise"
"AP2A1","turquoise"
"LSM7","turquoise"
"CHRNA6","blue"
"FADD","turquoise"
"VEGFC","turquoise"
"FADS3","turquoise"
"TLR4","grey"
"MOCOS","turquoise"
"SYNGR1","turquoise"
"PDCD1LG2","turquoise"
"CSTF2","turquoise"
"BAG6","turquoise"
"PWP2","turquoise"
"STARD4","turquoise"
"LRP1","turquoise"
"RAP2B","turquoise"
"OTUB1","turquoise"
"TMEM139","turquoise"
"TMEM115","turquoise"
"C9orf114","turquoise"
"PTCD2","turquoise"
"IDH3A","turquoise"
"SALL4","turquoise"
"SLIRP","turquoise"
"GINS3","turquoise"
"ERCC1","turquoise"
"OLFM4","turquoise"
"CDKN2AIPNL","turquoise"
"TOP3A","turquoise"
"RRP12","turquoise"
"LOC100128816","turquoise"
"SLC25A1","turquoise"
"UCK1","turquoise"
"RPS19BP1","turquoise"
"ATG10","turquoise"
"GSN","turquoise"
"STK40","turquoise"
"AURKB","turquoise"
"ACE2","turquoise"
"TNFAIP6","blue"
"SLC35F1","turquoise"
"NKIRAS2","turquoise"
"DHODH","turquoise"
"NDUFS7","turquoise"
"OAS2","grey"
"RNF185","turquoise"
"EFNB2","grey"
"SDPR","turquoise"
"NR6A1","turquoise"
"ZIC3","turquoise"
"GLYR1","turquoise"
"L1CAM","turquoise"
"MYOF","grey"
"GUCY1B3","grey"
"STARD13","turquoise"
"TTYH3","turquoise"
"SNORA23","turquoise"
"LIMCH1","brown"
"PTPRR","grey"
"STAT6","turquoise"
"XAF1","grey"
"MT1G","turquoise"
"ACSF2","turquoise"
"FAM111A","turquoise"
"LAMB1","turquoise"
"PRSS3P2","turquoise"
"LMNA","turquoise"
"BOP1","turquoise"
"TXN2","turquoise"
"PLCB1","grey"
"MYO10","grey"
"PTN","grey"
"NCAPD2","turquoise"
"SLC16A3","turquoise"
"PPOX","turquoise"
"LOC344887","turquoise"
"GNPDA1","turquoise"
"GUSBP3","turquoise"
"USP19","turquoise"
"OAS1","grey"
"MFI2","turquoise"
"PTDSS2","turquoise"
"FRK","brown"
"APH1A","turquoise"
"GPR160","turquoise"
"BSDC1","turquoise"
"CDH12","grey"
"CCL20","grey"
"RHOB","turquoise"
"IFRD2","turquoise"
"DFFA","turquoise"
"DPY19L1","turquoise"
"AHNAK2","turquoise"
"SPRY2","turquoise"
"PKIA","turquoise"
"DMAP1","turquoise"
"MLKL","turquoise"
"KHDRBS3","grey"
"CD9","turquoise"
"MUC13","grey"
"SNORD43","turquoise"
"NAPA","turquoise"
"SMOX","turquoise"
"ZDHHC15","grey"
"TCEB2","turquoise"
"CDCA3","turquoise"
"WDR54","turquoise"
"NFIX","turquoise"
"YIF1A","turquoise"
"PLEKHJ1","turquoise"
"MAD2L2","turquoise"
"TRIM38","turquoise"
"SPATS2L","grey"
"SNORD94","turquoise"
"KIF5C","turquoise"
"SYK","grey"
"CDC42EP3","grey"
"BMP5","grey"
"AP1G2","turquoise"
"PLEKHM1","turquoise"
"ABT1","turquoise"
"RBM24","turquoise"
"CMIP","turquoise"
"SLC35A1","turquoise"
"SPG20","grey"
"PRODH","turquoise"
"RBP7","brown"
"PAX8","blue"
"MECOM","grey"
"SNORA16A","turquoise"
"AK1","turquoise"
"AP1S2","turquoise"
"POU5F1","turquoise"
"CIB1","turquoise"
"ACP2","turquoise"
"TMEM231","turquoise"
"SNRK","turquoise"
"RNF5","turquoise"
"PDZK1","grey"
"NUMA1","turquoise"
"THRB","brown"
"FRAS1","turquoise"
"DCN","grey"
"TADA3","turquoise"
"IDO1","grey"
"ATP6V0B","turquoise"
"MCAT","turquoise"
"PADI3","turquoise"
"ERP27","grey"
"ENPP5","brown"
"MCM3","turquoise"
"TMOD1","blue"
"ATPAF2","turquoise"
"UPF1","turquoise"
"PCDHB3","turquoise"
"FAM32A","turquoise"
"PPIF","turquoise"
"GALNT10","turquoise"
"HYOU1","turquoise"
"TOP1MT","turquoise"
"PYCR2","turquoise"
"AEN","turquoise"
"JUP","turquoise"
"TMEM40","turquoise"
"FGFR4","turquoise"
"GABRG2","turquoise"
"ALCAM","grey"
"WDR13","turquoise"
"NOX4","turquoise"
"SLC38A10","turquoise"
"JAGN1","turquoise"
"CTSZ","turquoise"
"CHRNA9","turquoise"
"NCR3LG1","turquoise"
"MFAP2","turquoise"
"FAM171B","grey"
"HIST1H4A","turquoise"
"SNORD68","turquoise"
"GTF2E1","turquoise"
"SARS","turquoise"
"SCARNA10","turquoise"
"KLHDC4","turquoise"
"RAB5C","turquoise"
"HEG1","turquoise"
"RAB38","grey"
"PLAUR","turquoise"
"TJP2","turquoise"
"GNE","grey"
"KLF6","turquoise"
"PRKCDBP","turquoise"
"PSMC4","turquoise"
"SLC8A1","grey"
"GBP2","blue"
"SLC9A3R1","turquoise"
"TNIK","grey"
"MIR199A2","turquoise"
"AAR2","turquoise"
"UCHL3","turquoise"
"SPCS3","turquoise"
"RNU5A-1","turquoise"
"SLC39A13","turquoise"
"ARMC9","turquoise"
"MEIOB","grey"
"B3GALNT1","grey"
"NOP9","turquoise"
"ZNF462","turquoise"
"SATB1","grey"
"RCC1","turquoise"
"NAT10","turquoise"
"RNU6-1319P","turquoise"
"MITF","grey"
"VPS72","turquoise"
"G6PC3","turquoise"
"RSPO3","grey"
"GCNT1","grey"
"SGPP2","blue"
"PTBP1","turquoise"
"ANKRD22","turquoise"
"SH3TC2","turquoise"
"NCS1","turquoise"
"PPIE","turquoise"
"SLC47A1","turquoise"
"MGLL","turquoise"
"FBXL12","turquoise"
"TET1","grey"
"TRIP6","turquoise"
"KIF22","turquoise"
"NDRG1","turquoise"
"FECH","turquoise"
"GPR56","grey"
"CA14","turquoise"
"NDE1","turquoise"
"TP53INP1","grey"
"STAC","turquoise"
"TIAM1","turquoise"
"ACTA2","turquoise"
"RPL10","turquoise"
"GRAMD3","brown"
"MEIS2","turquoise"
"PPP5C","turquoise"
"C3orf14","turquoise"
"KRT6A","turquoise"
"VEGFB","turquoise"
"CORO2A","turquoise"
"PTPRS","turquoise"
"PGK1","turquoise"
"HBEGF","turquoise"
"ATP6AP1","turquoise"
"GLE1","turquoise"
"ATF4","turquoise"
"WNT5A","turquoise"
"PMEL","turquoise"
"ITPRIPL2","turquoise"
"RPUSD4","turquoise"
"FAM195B","turquoise"
"MFSD6","grey"
"SMIM7","turquoise"
"FANCE","turquoise"
"LINC00917","turquoise"
"NCAPH2","turquoise"
"ERCC2","turquoise"
"MED22","turquoise"
"MED18","turquoise"
"GLRX","turquoise"
"C17orf104","blue"
"MYO1D","grey"
"ITGBL1","turquoise"
"LRIG1","turquoise"
"TRIM16L","turquoise"
"RGMB","turquoise"
"COPS7A","turquoise"
"ZDHHC5","turquoise"
"MFN2","turquoise"
"RAB31","turquoise"
"C10orf2","turquoise"
"SCLY","turquoise"
"SRXN1","turquoise"
"ERBB2","turquoise"
"CDK5","turquoise"
"TXNRD1","turquoise"
"RN7SL648P","turquoise"
"SCYL1","turquoise"
"KCNN4","turquoise"
"NME5","blue"
"ATP13A1","turquoise"
"BTF3P10","turquoise"
"NUBP2","turquoise"
"KRT18P65","turquoise"
"NAGPA","turquoise"
"CHTF8","turquoise"
"FSTL1","turquoise"
"SP100","grey"
"C17orf49","turquoise"
"CYP2R1","turquoise"
"SLC30A5","turquoise"
"LMF2","turquoise"
"KRT80","turquoise"
"RQCD1","turquoise"
"ACD","turquoise"
"ROR1","turquoise"
"RARG","turquoise"
"ELL2","turquoise"
"OTUD7B","turquoise"
"TMED9","turquoise"
"CCT7","turquoise"
"FHL1","turquoise"
"CD40","turquoise"
"HSD17B10","turquoise"
"PAK4","turquoise"
"SLC20A1","turquoise"
"CCDC101","turquoise"
"ALG3","turquoise"
"LPIN1","turquoise"
"MLLT3","blue"
"CTH","grey"
"DHFR","turquoise"
"POLR2C","turquoise"
"RASSF2","turquoise"
"GALM","turquoise"
"ITPKB","turquoise"
"AP1M2","turquoise"
"GALNT12","turquoise"
"ADAP1","turquoise"
"YDJC","turquoise"
"MANBAL","turquoise"
"KDM5C","turquoise"
"FAM167A","turquoise"
"RNA5SP385","turquoise"
"PPIH","turquoise"
"CSNK1G2","turquoise"
"SMPD2","turquoise"
"DLX1","turquoise"
"ZFP64","turquoise"
"ELOVL2","turquoise"
"RABAC1","turquoise"
"PSRC1","turquoise"
"PDGFRL","turquoise"
"IFI6","turquoise"
"TMED8","turquoise"
"SNRPN","grey"
"SLC40A1","grey"
"H2AFY2","turquoise"
"STK33","turquoise"
"DCAF11","turquoise"
"ZNF702P","grey"
"EPHA5","turquoise"
"SLAIN1","blue"
"AQP3","turquoise"
"ARRDC1","turquoise"
"IFITM2","turquoise"
"FOXO4","turquoise"
"MT-TG","blue"
"SUN2","turquoise"
"SRM","turquoise"
"TOM1L2","turquoise"
"EMC6","turquoise"
"MRPL45","turquoise"
"HIST1H3G","turquoise"
"RN7SL480P","turquoise"
"LEMD1","blue"
"HOXC9","turquoise"
"SLC12A4","turquoise"
"POMGNT1","turquoise"
"NDUFS3","turquoise"
"ATAD3A","turquoise"
"TMEM161A","turquoise"
"DPYSL2","turquoise"
"TSPAN31","turquoise"
"RNASEH2A","turquoise"
"PRNP","turquoise"
"PVR","turquoise"
"PIM1","turquoise"
"PLAGL1","turquoise"
"DDX60L","grey"
"ACSS2","turquoise"
"FSD1","turquoise"
"STK25","turquoise"
"TRAF4","turquoise"
"DENND3","turquoise"
"NADK","turquoise"
"PPARGC1A","grey"
"ADAMTSL1","turquoise"
"MBNL3","turquoise"
"IDH3B","turquoise"
"SNORD50A","turquoise"
"ARF1","turquoise"
"ST3GAL2","turquoise"
"CDKN2A","turquoise"
"MPV17L2","turquoise"
"TSKU","turquoise"
"STRIP1","turquoise"
"FBXO32","grey"
"TMEM242","turquoise"
"CHMP6","turquoise"
"TMSB4X","turquoise"
"HMGB1P4","turquoise"
"CLEC2B","turquoise"
"AGMO","grey"
"SPHK1","turquoise"
"CCDC142","turquoise"
"ZWINT","turquoise"
"SKIV2L","turquoise"
"PLOD1","turquoise"
"HS6ST1","turquoise"
"CDO1","turquoise"
"DRAP1","turquoise"
"NELFB","turquoise"
"PAPSS2","grey"
"DNAL4","turquoise"
"EMP2","turquoise"
"RBM3","turquoise"
"RN7SL147P","turquoise"
"KRT18P55","turquoise"
"SNX11","turquoise"
"DBN1","turquoise"
"DHX37","turquoise"
"ARSI","turquoise"
"TFCP2","grey"
"ATL3","turquoise"
"EDA2R","turquoise"
"LAMTOR1","turquoise"
"NUP210","turquoise"
"ECHS1","turquoise"
"ROBO1","grey"
"CCM2","turquoise"
"KIAA0141","turquoise"
"LIG1","turquoise"
"HMBS","turquoise"
"FN3KRP","turquoise"
"ELF3","turquoise"
"RPL29","turquoise"
"C1S","grey"
"RN7SL698P","turquoise"
"ID4","turquoise"
"MAN2C1","turquoise"
"ASS1","grey"
"SNORD116-4","turquoise"
"PPIB","turquoise"
"SYNJ2","turquoise"
"KLF5","turquoise"
"ZMAT3","turquoise"
"SF3A2","turquoise"
"PGAM5","turquoise"
"SBF1","turquoise"
"ZNF814","turquoise"
"RETSAT","turquoise"
"CECR2","turquoise"
"IPO4","turquoise"
"MARCKS","turquoise"
"ATRNL1","blue"
"ACAD9","turquoise"
"PAGR1","turquoise"
"IL4R","turquoise"
"CINP","turquoise"
"SLC36A4","grey"
"FAM101B","turquoise"
"FLYWCH2","turquoise"
"NDUFS5","turquoise"
"SNORD22","turquoise"
"DERL2","turquoise"
"SRA1","turquoise"
"CBR1","turquoise"
"DUS3L","turquoise"
"CNPY3","turquoise"
"FLOT2","turquoise"
"RRP1B","turquoise"
"BLID","turquoise"
"RNU6-341P","turquoise"
"IL1R2","grey"
"TBC1D10B","turquoise"
"ME1","grey"
"EFHD2","turquoise"
"KLHL18","turquoise"
"LBH","turquoise"
"NLRP3","turquoise"
"FOLR1","grey"
"TRPM4","turquoise"
"ZFP82","turquoise"
"POLR1B","turquoise"
"PTPRF","turquoise"
"KIAA0040","turquoise"
"AKR1A1","turquoise"
"MGST2","grey"
"SIRT7","turquoise"
"ZNF692","turquoise"
"RCCD1","turquoise"
"REXO4","turquoise"
"TRPC4","turquoise"
"PROS1","turquoise"
"ZNF808","turquoise"
"NUDCD1","turquoise"
"SEMA4C","turquoise"
"KLHL14","grey"
"DDX23","turquoise"
"CSTF2T","turquoise"
"NEIL2","turquoise"
"ULBP1","turquoise"
"NEFL","turquoise"
"MAP2K3","turquoise"
"TRIM68","turquoise"
"PLCG1","turquoise"
"HGH1","turquoise"
"AKT1S1","turquoise"
"PITPNM1","turquoise"
"TNFRSF12A","turquoise"
"LSR","turquoise"
"RGS2","turquoise"
"CCDC71","turquoise"
"SLC2A12","brown"
"SLC10A2","blue"
"SCML2","turquoise"
"SLC9A2","brown"
"SGCE","grey"
"ALYREF","turquoise"
"CPT1C","turquoise"
"USP22","turquoise"
"EPN1","turquoise"
"HNMT","grey"
"DDX51","turquoise"
"TRIB2","turquoise"
"ARSE","grey"
"MYL9","turquoise"
"KCNMB4","turquoise"
"TMEM45A","turquoise"
"NCEH1","grey"
"TBCD","turquoise"
"AFAP1","turquoise"
"PKI55","turquoise"
"HCP5","turquoise"
"RAB35","turquoise"
"COPS8","turquoise"
"MYEF2","grey"
"CYR61","grey"
"NME1","turquoise"
"SGCZ","turquoise"
"HAUS4","turquoise"
"GPX7","blue"
"MIA-RAB4B","turquoise"
"PIGM","turquoise"
"FAM86A","turquoise"
"FZD6","grey"
"MT-TY","blue"
"KATNB1","turquoise"
"SMO","turquoise"
"MPP1","turquoise"
"CTSV","turquoise"
"AHCY","turquoise"
"HOMER3","turquoise"
"LHFPL2","turquoise"
"AKAP12","grey"
"HIST1H2AK","turquoise"
"CENPM","turquoise"
"GSTZ1","turquoise"
"CARS2","turquoise"
"FOSL2","turquoise"
"KIAA0195","turquoise"
"TUBA1A","turquoise"
"APEH","turquoise"
"BLVRB","turquoise"
"NCALD","blue"
"SNORD1A","turquoise"
"TSTD2","turquoise"
"LHFP","turquoise"
"FZD3","grey"
"PPP6R1","turquoise"
"COQ9","turquoise"
"GRAMD1A","turquoise"
"CA11","turquoise"
"COA7","turquoise"
"ADCK4","turquoise"
"PACSIN3","turquoise"
"PGM1","turquoise"
"NANS","turquoise"
"B4GALT3","turquoise"
"SCAMP3","turquoise"
"AHNAK","turquoise"
"IMP4","turquoise"
"NONO","turquoise"
"SLC46A3","grey"
"XRCC6","turquoise"
"FAM46A","turquoise"
"CHFR","turquoise"
"ST6GALNAC6","turquoise"
"TBRG4","turquoise"
"ZNRF2P1","turquoise"
"SESN2","turquoise"
"SCARB1","turquoise"
"NCLN","turquoise"
"UQCC1","turquoise"
"KCNH7","grey"
"MRPL38","turquoise"
"PAPPA2","turquoise"
"RTKN2","grey"
"GALNT14","turquoise"
"NEK9","turquoise"
"ACADVL","turquoise"
"SOSTDC1","grey"
"VPS51","turquoise"
"PTGS1","brown"
"C11orf49","turquoise"
"ETS2","turquoise"
"SPR","turquoise"
"MARC1","grey"
"BCL7C","turquoise"
"NEK6","turquoise"
"EPHA4","turquoise"
"CCDC103","turquoise"
"NTN4","brown"
"LIMS1","turquoise"
"EPDR1","turquoise"
"AKR7A2","turquoise"
"ESRRA","turquoise"
"RPL8","turquoise"
"ADAMTS1","grey"
"S100A11","grey"
"METTL2A","turquoise"
"NR2F1","turquoise"
"NRM","turquoise"
"NOTCH1","turquoise"
"TSPAN12","blue"
"TIPARP","turquoise"
"ACSF3","turquoise"
"CPEB2","grey"
"MPP7","turquoise"
"ZNF212","turquoise"
"TMEM80","turquoise"
"CRKL","turquoise"
"GTF2H3","turquoise"
"HINT2","turquoise"
"TSR3","turquoise"
"GPR108","turquoise"
"ARHGDIA","turquoise"
"PTPN13","grey"
"SOX4","turquoise"
"PCDH7","turquoise"
"MRPS21","turquoise"
"B3GALT1","grey"
"PRPF4","turquoise"
"MRPL37","turquoise"
"L3MBTL2","turquoise"
"LRP10","turquoise"
"CDCA5","turquoise"
"RBM10","turquoise"
"DUSP19","turquoise"
"RBM19","turquoise"
"PPP1R14B","turquoise"
"NFKBIB","turquoise"
"INCENP","turquoise"
"BCL2L13","turquoise"
"AP1S3","turquoise"
"C1orf85","turquoise"
"DDRGK1","turquoise"
"OSMR","grey"
"ADAMTS5","grey"
"ST6GALNAC4","turquoise"
"RBM15B","turquoise"
"HK2","turquoise"
"AP3M2","turquoise"
"FLT1","grey"
"ZNF521","turquoise"
"MIR492","turquoise"
"ASB1","turquoise"
"ABHD2","turquoise"
"PRRG4","grey"
"RPRD1B","turquoise"
"MKRN2","turquoise"
"ZBTB7C","turquoise"
"MKS1","turquoise"
"SLFN12","grey"
"SULT4A1","turquoise"
"STK10","turquoise"
"PDLIM5","turquoise"
"TBC1D10A","turquoise"
"DOK4","turquoise"
"RN7SKP80","turquoise"
"ARAF","turquoise"
"KLF16","turquoise"
"PIN1","turquoise"
"PI4K2A","turquoise"
"CYP2B6","turquoise"
"RBM47","turquoise"
"MARCH2","turquoise"
"APMAP","turquoise"
"RPL35P1","turquoise"
"OVCA2","turquoise"
"HK1","turquoise"
"RNU6-780P","blue"
"NEXN","grey"
"CLPP","turquoise"
"SNHG17","turquoise"
"RPL18","turquoise"
"FAM98C","turquoise"
"MAPRE1","turquoise"
"OLFML3","turquoise"
"SULF2","grey"
"AGPAT6","turquoise"
"KRT17P2","turquoise"
"RCE1","turquoise"
"CD99L2","turquoise"
"SVIL","turquoise"
"LTBP4","turquoise"
"KPNA6","turquoise"
"SPRY4","turquoise"
"PSMC3IP","turquoise"
